,Latitude,Longitude,Total Capacity (MW),Annual,,First Yr Annual (MWh)
1643,49.86,-56.8,0.005,3.47,,5.83
616,47,-69.84,0.005,4.18,,6.48
3325,51.09,-115.05,0.005,4.51,,6.83
120,50.72,-121.28,0.005,4.25,,6.42
2342,45.29,-67.27,0.005,4.11,,6.78
224,45.73,-76.85,0.005,4.38,,7.06
376,44.66,-63.94,0.005,3.95,,6.56
1511,53.76,-110.52,0.005,4.6,,6.07
1812,54.77,-111.97,0.005,4.45,,5.86
1497,50.23,-63.6,0.005,4.01,,6.26
3075,47.35,-68.22,0.005,4.19,,6.52
3355,43.76,-65.32,0.005,3.95,,6.83
128,49.62,-105.98,0.005,5,,6.63
573,45.31,-75.08,0.005,4.37,,6.93
3084,46.21,-72.43,0.005,4.28,,6.66
2278,49.98,-94.66,0.005,4.55,,6.77
821,52.49,-105.73,0.005,4.83,,6.18
1369,49.82,-111.7,0.005,4.96,,7.04
2385,49.26,-123.1,0.005,4.18,,5.88
1451,45.48,-73.63,0.005,4.15,,7.08
3147,47.61,-64.93,0.005,4.22,,6.6
1614,46.63,-60.4,0.005,3.61,,6.16
1310,48.69,-54.03,0.005,3.49,,5.63
3107,46.55,-64.77,0.005,4.21,,6.78
3906,43.73,-65.98,0.005,4,,6.58
182,46.22,-64.44,0.005,4.18,,6.75
3964,48.58,-85.25,0.005,4.14,,6.61
3665,49.16,-123.16,0.005,4.24,,6.29
1854,45.83,-71.08,0.005,4.13,,6.43
172,50.49,-104.26,0.005,4.93,,6.69
468,44.12,-78.73,0.005,4.05,,6.93
590,45.13,-64.52,0.005,4.18,,6.53
3878,49.82,-75.9,0.005,4.24,,6.29
3854,42.76,-80.38,0.005,4.99,,6.93
3451,49.03,-95.63,0.005,4.66,,6.84
2828,55.71,-120.13,0.005,4.28,,5.66
3506,43.25,-81.13,0.005,4.18,,6.66
3043,48.45,-123.37,0.005,3.95,,6.67
3983,45.03,-78.22,0.005,4.29,,6.93
3892,44.53,-64.66,0.005,4.27,,6.52
412,45.53,-76.46,0.005,4.18,,6.61
1726,52.78,-111.85,0.005,4.7,,6.08
1604,49.4,-91.67,0.005,4.5,,6.85
2272,46.12,-67.19,0.005,4.16,,6.69
614,47.59,-59.13,0.005,3.47,,5.31
2783,48.34,-54.17,0.005,3.46,,5.67
2922,51.35,-102.19,0.005,4.78,,6.45
2263,45.33,-63.3,0.005,4.3,,6.51
3272,55.53,-102.31,0.005,4.74,,6.26
2012,46.89,-55.65,0.005,3.43,,5.44
1162,54.76,-101.86,0.005,4.31,,6.19
1953,47.56,-67.33,0.005,4.99,,6.41
2475,45.38,-71.48,0.005,4.13,,6.37
1898,45.83,-73.41,0.005,4.36,,6.74
1371,49.87,-106.55,0.005,4.98,,6.74
3320,46.78,-84.05,0.005,4.19,,6.71
2876,45.45,-74.2,0.005,4.06,,7.01
2221,46,-64.55,0.005,4.15,,6.5
810,54.62,-97.77,0.005,4.37,,6.3
330,52.82,-106.88,0.005,4.83,,6.18
744,54.62,-113.25,0.005,4.47,,5.88
3036,45.8,-66.62,0.005,4.18,,6.71
2064,52.33,-109.93,0.005,4.79,,6.33
1885,47.08,-55.67,0.005,3.48,,6
3661,46.1,-71.3,0.005,4.14,,6.42
2775,50.05,-97.97,0.005,4.72,,6.83
652,55.69,-121.63,0.005,4.14,,5.89
1978,50.1,-96.94,0.005,4.27,,6.67
2907,50.45,-104.6,0.005,4.97,,7
948,44.25,-78.22,0.005,4.16,,6.89
1554,51.19,-96.3,0.005,4.52,,6.46
3334,50.21,-66.38,0.005,4.08,,5.88
3759,44.32,-79.83,0.005,4.1,,6.6
2226,44.85,-75.82,0.005,4.38,,7.08
3189,46.23,-73.53,0.005,4.32,,6.75
829,47.54,-53.22,0.005,3.45,,5.78
3730,55.13,-121,0.005,4.15,,5.87
601,49.45,-104.6,0.005,5.02,,6.91
4071,46.31,-63.09,0.005,4.2,,6.24
3541,51.05,-99.52,0.005,4.75,,6.7
2111,45.05,-72.39,0.005,4.18,,6.39
116,50.73,-113.14,0.005,4.83,,6.72
1091,49.47,-111.1,0.005,4.98,,7
2740,49.19,-97.76,0.005,4.77,,6.92
1171,43.87,-81.03,0.005,4.15,,6.72
157,48.97,-56.04,0.005,3.49,,5.68
1456,51.62,-106.44,0.005,4.94,,6.33
1881,46.38,-67.51,0.005,4.37,,6.59
218,49.53,-56.86,0.005,4.11,,5.53
4077,51.21,-102.46,0.005,4.79,,6.61
595,44.4,-76.9,0.005,4.18,,7.15
1279,50.63,-96.99,0.005,4.62,,6.49
3793,53.35,-110.85,0.005,4.65,,6.19
926,45.24,-78.89,0.005,4.21,,6.87
1804,49.69,-97.26,0.005,4.68,,6.73
26,43.15,-81.53,0.005,4.22,,6.83
2053,50.23,-121.58,0.005,4.09,,6.7
1154,51.43,-97.36,0.005,4.55,,6.64
2453,47.59,-56.65,0.005,3.76,,5.64
1560,44.86,-79.81,0.005,4.19,,6.71
210,47.32,-52.79,0.005,3.4,,5.84
67,43.97,-79.19,0.005,4.77,,6.91
4031,44.22,-76.51,0.005,4.68,,6.95
4050,44.15,-77.7,0.005,4.35,,7.13
3480,45.55,-61.88,0.005,4.36,,6.19
1296,47.95,-66.8,0.005,4.26,,6.3
3715,46.35,-72.55,0.005,4.29,,6.87
967,49.97,-110.58,0.005,4.99,,6.71
1706,49.76,-94.5,0.005,4.56,,6.5
918,51.49,-117.17,0.005,4.23,,5.9
3212,45.82,-72.41,0.005,4.26,,6.66
1490,49.15,-122.25,0.005,3.62,,5.46
2767,47.57,-64.95,0.005,4.22,,6.59
1828,49.09,-123.07,0.005,3.85,,6.23
1327,43.87,-81.1,0.005,4.15,,6.57
1514,45.08,-73.58,0.005,4.35,,6.66
1971,47.1,-70.35,0.005,4.15,,6.58
1738,51.46,-109.15,0.005,4.92,,6.51
280,51.91,-101.54,0.005,4.66,,6.33
2179,45.1,-77.83,0.005,4.13,,6.95
2082,51.16,-55.98,0.005,3.45,,5.46
385,44.11,-79.56,0.005,4.23,,6.96
2077,49.4,-112.86,0.005,4.82,,7.07
2798,43.95,-78.29,0.005,4.31,,6.95
2596,49.52,-82.86,0.005,4.16,,6.71
934,48.77,-64.37,0.005,4.09,,6.42
3968,49.4,-93.95,0.005,4.56,,6.59
323,52.7,-103.64,0.005,4.66,,6.32
1409,45.24,-77.16,0.005,4.38,,7.07
462,43.37,-79.81,0.005,4.22,,6.91
3261,45.42,-65.4,0.005,4,,6.81
3864,49.28,-112.2,0.005,4.89,,7.01
3051,45.25,-66.03,0.005,4.14,,6.44
138,52.92,-82.42,0.005,4.18,,6.34
3436,54.01,-125.76,0.005,3.68,,5.88
3662,55.31,-97.68,0.005,4.3,,5.8
3324,50.17,-104.01,0.005,4.98,,6.7
2678,50.53,-108.23,0.005,4.95,,6.68
816,45.21,-75.15,0.005,4.37,,6.89
3840,51.94,-103.79,0.005,4.76,,6.53
2210,45.98,-67.5,0.005,4.16,,6.75
1723,54.44,-112.09,0.005,4.49,,6.08
1377,44.23,-76.96,0.005,4.36,,6.94
4014,49.88,-97.14,0.005,4.65,,6.9
1814,48.41,-67.35,0.005,4.16,,6.23
3199,46.1,-72.36,0.005,4.28,,6.7
2477,49.15,-53.62,0.005,3.48,,5.27
236,45.83,-71.38,0.005,4.13,,6.48
2653,52.15,-95.37,0.005,4.42,,6.31
1448,45.5,-71.25,0.005,3.5,,6.38
2211,43.78,-66.05,0.005,4.24,,6.71
398,44.54,-79.17,0.005,4.24,,6.84
3917,44.86,-63.61,0.005,4.35,,6.5
805,51.54,-114.49,0.005,4.6,,6.32
875,49.08,-123.05,0.005,3.77,,6.23
3029,53.16,-112.63,0.005,4.62,,6.12
2598,43.91,-80.1,0.005,4.17,,6.82
213,47.58,-53.29,0.005,3.44,,5.75
3916,43.91,-66.1,0.005,4.35,,6.67
1996,51.55,-121.2,0.005,4.09,,6.14
1769,53.82,-89.88,0.005,4.21,,5.8
2433,54.31,-114.37,0.005,4.41,,5.91
3692,53.37,-112.66,0.005,4.59,,6.11
3013,44.19,-78.05,0.005,4.32,,6.97
4007,43.67,-80.6,0.005,4.46,,6.57
550,45.13,-76.14,0.005,4.41,,6.83
87,50.73,-101.02,0.005,4.83,,6.69
1271,49.71,-86.95,0.005,4.2,,6.61
306,47.57,-65.66,0.005,4.69,,6.58
2865,50.53,-127.65,0.005,3.31,,5.1
2690,45.88,-77.31,0.005,4.37,,6.84
2499,44.72,-78.81,0.005,4.26,,6.77
364,45.2,-66.85,0.005,4.12,,6.83
2446,51.7,-110.49,0.005,4.89,,6.5
2543,46.48,-72.65,0.005,4.28,,6.7
4033,50.94,-114.1,0.005,4.68,,6.6
1420,50.09,-108.48,0.005,4.95,,6.67
1389,45.29,-74.76,0.005,3.95,,6.92
34,43.18,-80.07,0.005,4.13,,6.86
2373,44.27,-64.42,0.005,4.18,,6.8
1167,51.64,-103.53,0.005,4.79,,6.46
1136,52.76,-112.97,0.005,4.65,,6.3
2495,45.96,-66.52,0.005,4.17,,6.69
3982,45.8,-81.71,0.005,4.27,,7.25
1594,43.95,-64.77,0.005,3.93,,6.84
1525,48.1,-53.74,0.005,3.44,,5.7
2654,53.01,-108.93,0.005,4.75,,6.23
3458,45.67,-65.81,0.005,4,,6.71
1756,44.78,-78.65,0.005,4.27,,6.8
867,42.84,-80.49,0.005,4.18,,6.98
4084,53.06,-103.75,0.005,4.63,,6.25
492,46.22,-79.36,0.005,4.25,,6.89
2791,46.04,-64.08,0.005,4.13,,6.53
531,44.92,-81.02,0.005,4.19,,6.82
2994,44.37,-75.93,0.005,4.37,,7.02
2241,45.71,-63.17,0.005,4.11,,6.58
2977,53.23,-116.97,0.005,4.26,,5.9
2300,48.31,-84.08,0.005,4.16,,6.59
3140,48.73,-71.85,0.005,4.21,,6.29
1160,44.26,-80.55,0.005,4.12,,6.7
3773,55.06,-117.28,0.005,4.32,,5.93
2556,50.56,-100.57,0.005,4.86,,6.73
2438,55.78,-98.88,0.005,4.23,,5.97
279,49.39,-105.12,0.005,5.04,,6.71
3776,49.75,-124.55,0.005,3.75,,6
2135,45.98,-60.21,0.005,3.71,,6.27
4059,49.08,-116.08,0.005,4.31,,6.38
1017,53.58,-116.43,0.005,4.33,,5.92
2680,45.77,-65.38,0.005,4.18,,6.7
1568,45.84,-64.57,0.005,4.11,,6.77
1354,55.17,-118.79,0.005,4.33,,5.82
3728,53.71,-110.18,0.005,4.62,,6.04
2847,53.55,-113.51,0.005,2.88,,6.32
2205,53.44,-105.36,0.005,4.69,,5.99
2259,48.65,-123.55,0.005,3.88,,6.43
1256,46.54,-84.16,0.005,4.23,,6.72
1970,44.26,-79.97,0.005,4.21,,6.78
127,49.85,-97.25,0.005,5,,6.83
1682,46.77,-84.35,0.005,4.19,,6.79
1741,48.55,-53.37,0.005,3.44,,5.88
735,47.36,-79.75,0.005,4.56,,6.61
2472,45.82,-66.91,0.005,4.23,,6.8
725,44,-77.88,0.005,4.34,,7.06
2324,43.15,-79.25,0.005,4.36,,6.92
3763,48.53,-67.55,0.005,4.14,,6.06
836,48.04,-66.39,0.005,4.24,,5.93
2291,49.4,-100.02,0.005,4.93,,6.82
2461,44.73,-64.45,0.005,3.99,,6.58
31,48.88,-72.45,0.005,4.25,,6.2
2217,45.78,-63.02,0.005,4.84,,6.46
4035,49.33,-122.91,0.005,4.68,,5.5
3817,53.25,-132.1,0.005,3.14,,4.64
3700,43.67,-79.39,0.005,4.25,,6.89
2454,45.16,-61.45,0.005,3.76,,6.27
2656,49.77,-119.73,0.005,4.14,,6.42
4076,56.08,-96.1,0.005,4.23,,5.94
3838,54.9,-98.62,0.005,4.29,,6.37
4046,45.03,-63.93,0.005,4.26,,6.49
753,45.23,-71.81,0.005,4.19,,6.47
651,45.62,-79.32,0.005,4.14,,6.62
3500,51.52,-55.48,0.005,3.46,,5.46
1710,53.6,-113.01,0.005,4.09,,6.16
2919,45.35,-75.69,0.005,3.99,,6.96
1263,45.76,-66.48,0.005,4.18,,6.68
1914,44.88,-65.15,0.005,4.11,,6.51
479,53.02,-117.32,0.005,4.23,,5.87
3497,46.9,-55.4,0.005,3.42,,5.4
3607,49.11,-122.82,0.005,3.64,,5.92
1777,49.44,-117.59,0.005,4.05,,6.33
1116,49.26,-123.13,0.005,4.34,,5.93
2541,47.61,-68.79,0.005,4.12,,6.41
3953,42.09,-82.46,0.005,4.42,,6.9
799,49.82,-103.31,0.005,5,,6.89
2366,42.95,-80.79,0.005,4.18,,6.82
521,45.89,-67.46,0.005,4.15,,6.72
2244,45.09,-76.39,0.005,4.41,,6.84
907,45.06,-71.76,0.005,4.18,,6.47
845,45.86,-76.76,0.005,4.94,,6.9
65,51.37,-109.99,0.005,4.93,,6.61
1307,49.42,-82.41,0.005,4.71,,6.55
1209,47.32,-53.88,0.005,3.42,,5.78
3035,48.72,-67.41,0.005,4.17,,6.16
1700,45.46,-63.07,0.005,3.96,,6.39
268,46.2,-67.7,0.005,4.36,,6.64
1958,45.9,-66.58,0.005,4.22,,6.74
2027,48.06,-77.38,0.005,4.25,,6.46
1322,44.9,-78.37,0.005,4.28,,6.8
2295,47.03,-65.17,0.005,4.27,,6.62
585,50.79,-106.5,0.005,4.96,,6.64
1926,42.09,-82.55,0.005,4.41,,6.93
1936,45.17,-66.46,0.005,4.12,,6.65
1794,45.4,-71.25,0.005,4.1,,6.31
3248,45.59,-71.96,0.005,4.1,,6.48
485,43.86,-79.85,0.005,4.2,,6.98
1199,56.25,-120.84,0.005,4.26,,5.93
2038,43.96,-81.51,0.005,4.17,,6.55
785,52.03,-100.64,0.005,4.6,,6.71
1659,49.59,-83.74,0.005,4.16,,6.66
19,44.54,-77.32,0.005,4.37,,7.04
4002,44.99,-64.13,0.005,4.05,,6.6
430,46.53,-84.39,0.005,3.99,,6.77
2118,45.21,-78.95,0.005,3.55,,6.81
3754,44.8,-64.23,0.005,4,,6.62
2138,43.87,-79.26,0.005,4.24,,6.84
2350,51.33,-80.72,0.005,4.19,,6.48
3673,49.33,-117.58,0.005,4.03,,6.42
3493,47.29,-68.39,0.005,4.16,,6.6
1768,49.15,-116.33,0.005,4.3,,6.4
4039,50.05,-119.38,0.005,4.13,,6.43
3790,51.58,-119.71,0.005,4.09,,5.84
1705,45.17,-63.72,0.005,4.03,,6.56
273,45.42,-63.38,0.005,4.88,,6.47
1380,45.66,-77.11,0.005,4.64,,6.87
1084,42.09,-82.9,0.005,4.41,,7.07
40,46.29,-60.28,0.005,3.68,,6.48
52,51.78,-122.23,0.005,4.13,,6.38
3765,45.5,-72.35,0.005,4.2,,6.55
2136,45.18,-75.35,0.005,4.38,,6.85
3448,53.36,-107.51,0.005,4.75,,6.03
2270,44.99,-64.81,0.005,4.16,,6.43
1550,50.95,-105.42,0.005,4.95,,6.38
297,44.08,-78.32,0.005,4.3,,7.03
970,44.45,-78.64,0.005,4.29,,6.97
665,49.13,-97.97,0.005,4.79,,6.99
509,42.68,-81.58,0.005,4.23,,6.87
3635,44.41,-76.21,0.005,4.28,,6.86
3144,46.06,-70.95,0.005,4.15,,6.61
1094,47.2,-81.99,0.005,2.85,,6.85
1005,52.36,-114.36,0.005,4.53,,6.23
2800,52.54,-56.29,0.005,3.63,,5.43
889,46.24,-78.29,0.005,4.31,,6.78
1415,48.93,-67.16,0.005,4.17,,6.22
2061,45.09,-66.47,0.005,4.12,,6.72
3693,49.15,-125.9,0.005,3.43,,5.6
3194,46.11,-74.59,0.005,4.36,,6.78
1587,45.44,-75.74,0.005,4.38,,6.96
608,50.23,-113.14,0.005,4.84,,6.81
1883,53.48,-113.54,0.005,4.37,,6.32
2498,52.32,-114.12,0.005,4.57,,6.15
2928,46.68,-64.86,0.005,4.21,,6.67
2707,54.34,-109.77,0.005,4.56,,5.99
1300,50.55,-99.19,0.005,4.77,,6.72
92,44.48,-79.82,0.005,4.21,,6.83
352,49.6,-96.68,0.005,4.65,,6.77
876,44.09,-77.2,0.005,4.36,,7
2112,49.4,-110.69,0.005,4.99,,7
726,41.98,-82.93,0.005,4.43,,7.13
2777,52.59,-103.25,0.005,4.65,,6.4
2159,46.23,-73.01,0.005,4.33,,6.72
1428,49.67,-95.9,0.005,4.61,,6.68
1734,49.66,-107,0.005,4.98,,6.87
716,53.07,-108.33,0.005,4.78,,6.07
2535,44.38,-77.97,0.005,4.35,,7.1
357,49.23,-100.05,0.005,4.93,,6.96
285,49.73,-100.19,0.005,4.27,,6.81
3941,45.81,-76.88,0.005,4.38,,7.05
3185,48.22,-70.21,0.005,4.31,,6.31
2991,45,-64.7,0.005,4.37,,6.61
2039,50.98,-107.13,0.005,4.96,,6.61
35,48.58,-93.52,0.005,4.13,,6.74
2608,49.03,-119.46,0.005,4.14,,7.06
2956,43.57,-65.59,0.005,3.36,,6.76
2523,53.53,-60.14,0.005,3.6,,5.06
2806,44.74,-79.81,0.005,4.2,,6.95
2059,49.43,-88.12,0.005,4.3,,6.51
3446,50.9,-116.36,0.005,4.39,,6.09
2086,44.63,-75.61,0.005,4.36,,6.91
1753,52.95,-105.02,0.005,4.74,,6.05
3984,50.09,-104.72,0.005,4.99,,6.82
1491,46.14,-64.39,0.005,4.17,,6.65
2094,44.47,-75.87,0.005,4.37,,6.85
1405,44.19,-76.98,0.005,4.78,,6.93
170,49.38,-99.24,0.005,4.86,,6.87
3423,44.7,-81.21,0.005,4.18,,6.93
3233,45.26,-73.61,0.005,4.34,,6.7
518,51.63,-102.43,0.005,4.73,,6.51
365,54.26,-110.73,0.005,4.53,,5.83
2240,44.94,-65.06,0.005,4.11,,6.41
69,56.9,-120.9,0.005,4.77,,5.78
3398,54.77,-127.17,0.005,3.55,,5.37
3970,56.1,-118.07,0.005,4.34,,5.81
1927,53.02,-106.74,0.005,4.8,,6.13
879,49.53,-124.81,0.005,3.74,,6.14
714,43.96,-78.16,0.005,4.32,,7.02
1600,51.89,-102.26,0.005,4.68,,6.47
592,45.8,-65.58,0.005,4.18,,6.62
3019,44.34,-77.33,0.005,4.37,,6.88
449,48.82,-56.84,0.005,3.45,,5.56
2214,42.81,-81.55,0.005,4.24,,6.74
362,46.23,-79.14,0.005,4.25,,6.98
2534,44.06,-66.02,0.005,4.35,,6.65
3374,50.83,-118.98,0.005,4.04,,5.92
3003,55.9,-120.13,0.005,4.29,,5.78
1962,51.59,-113.48,0.005,4.76,,6.36
675,58.78,-94.18,0.005,4.09,,3.99
791,51.04,-105.81,0.005,4.95,,6.53
299,45.37,-63.25,0.005,4,,6.51
135,47.98,-66.72,0.005,4.21,,6.35
909,51.8,-108.83,0.005,4.9,,6.32
2481,47.73,-65.73,0.005,4.27,,6.63
2914,49.85,-95.55,0.005,4.58,,6.73
1820,45.68,-76.21,0.005,4.36,,6.84
3555,50.44,-101.3,0.005,4.89,,6.89
2049,45.53,-76.01,0.005,4.39,,6.91
2119,50.96,-114.03,0.005,3.55,,6.65
2390,49.13,-113.59,0.005,4.64,,6.94
237,45.88,-64.57,0.005,4.55,,6.67
3911,53,-105.14,0.005,4.74,,6
1637,48.76,-80.68,0.005,4.23,,6.56
1750,45.78,-61.31,0.005,4.42,,6.02
3370,49.61,-95.1,0.005,4.89,,6.33
1837,49.14,-104.19,0.005,5.05,,7.07
70,42.82,-81.86,0.005,4.28,,6.89
3914,43.55,-80.71,0.005,4.16,,6.82
2610,45.33,-75.58,0.005,4.38,,7.03
2025,48.64,-59,0.005,3.47,,5.93
1059,50.95,-110,0.005,4.97,,6.68
1644,46.19,-67.6,0.005,4.17,,6.61
1860,45.01,-76.36,0.005,4.41,,6.9
898,44.62,-65.75,0.005,4.08,,6.55
28,43.85,-79.03,0.005,4.26,,6.93
2512,43.5,-65.6,0.005,3.98,,6.84
1241,48.76,-123.45,0.005,3.91,,6.51
3459,45.98,-67.54,0.005,4,,6.68
4032,50.2,-97.66,0.005,4.68,,6.86
545,53.77,-113.6,0.005,4.32,,6.04
1671,45.9,-82.25,0.005,4.28,,6.99
1489,45.18,-71.93,0.005,4.17,,6.54
3581,46.36,-79.92,0.005,4.27,,6.74
